ticker,asset_class,currency,factor,factor_label,direction,magnitude,sensitivity_level,raw_value,value_basis,sign_positive_meaning,sign_negative_meaning,structural_tags,evidence_metrics
000270.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.058029,low,0.058029,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.058029
000270.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.107497,low,0.107497,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.107497
000270.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.232481,low,-0.232481,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.232481
000270.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.808781,high,0.808781,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.808781
000270.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004996,high,-0.004996,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.004996
000660.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,positive,0.122468,low,0.122468,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,beta_sp500_1y_krw=0.122468
000660.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.255832,low,0.255832,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,downside_beta_sp500_1y_krw=0.255832
000660.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.147889,low,-0.147889,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,corr_sp500_60d_krw=-0.147889
000660.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.93612,high,0.93612,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,corr_kospi200_60d_krw=0.93612
000660.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.01021,high,-0.01021,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,ai_capex_proxy|korea_equity_proxy|semiconductor_proxy,avg_stress_ret_krw=-0.01021
000810.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.010814,low,0.010814,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy,beta_sp500_1y_krw=0.010814
000810.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.115902,low,0.115902,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy|korea_financial_proxy,downside_beta_sp500_1y_krw=0.115902
000810.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.169489,low,-0.169489,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy|korea_financial_proxy,corr_sp500_60d_krw=-0.169489
000810.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.585407,medium,0.585407,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy|korea_financial_proxy,corr_kospi200_60d_krw=0.585407
000810.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.004478,high,-0.004478,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy|korea_financial_proxy,avg_stress_ret_krw=-0.004478
003670.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.006153,low,0.006153,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.006153
003670.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.14225,low,0.14225,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.14225
003670.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.333537,medium,-0.333537,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.333537
003670.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.728575,high,0.728575,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.728575
003670.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005132,high,-0.005132,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.005132
005380.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.045767,low,0.045767,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.045767
005380.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.135676,low,0.135676,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.135676
005380.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.261711,low,-0.261711,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.261711
005380.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.775403,high,0.775403,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.775403
005380.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005493,high,-0.005493,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.005493
005490.KS,kr_stock,KRW,market_beta_sp500,S&P500 beta,neutral,0.007647,low,0.007647,beta_sp500_1y_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,beta_sp500_1y_krw=0.007647
005490.KS,kr_stock,KRW,downside_beta_sp500,S&P500 downside beta,positive,0.103868,low,0.103868,downside_beta_sp500_1y_krw,미국 증시 하락일에 함께 하락,미국 증시 하락일에 반대로 움직임,korea_equity_proxy,downside_beta_sp500_1y_krw=0.103868
005490.KS,kr_stock,KRW,corr_sp500_60d,S&P500 60d correlation,negative,0.342188,medium,-0.342188,corr_sp500_60d_krw,SPY와 같은 방향,SPY와 반대 방향,korea_equity_proxy,corr_sp500_60d_krw=-0.342188
005490.KS,kr_stock,KRW,corr_kospi200_60d,KOSPI200 60d correlation,positive,0.710055,high,0.710055,corr_kospi200_60d_krw,KOSPI200과 같은 방향,KOSPI200과 반대 방향,korea_equity_proxy,corr_kospi200_60d_krw=0.710055
005490.KS,kr_stock,KRW,stress_response,Stress-period average return,negative,0.005251,high,-0.005251,avg_stress_ret_krw,위기구간에서 플러스 성과,위기구간에서 마이너스 성과,korea_equity_proxy,avg_stress_ret_krw=-0.005251
