ticker,asset_class,currency,vol_annual,mdd_1y,var_95_1y,cvar_95_1y,beta_sp500_1y,downside_beta_sp500_1y,beta_ks200_1y,downside_beta_ks200_1y,corr_sp500_60d,corr_kospi200_60d,beta_soxx_1y,downside_beta_soxx_1y,corr_soxx_60d,beta_uso_1y,beta_gld_1y,avg_stress_ret,adv_60,vol_annual_krw,mdd_1y_krw,var_95_1y_krw,cvar_95_1y_krw,beta_sp500_1y_krw,downside_beta_sp500_1y_krw,beta_ks200_1y_krw,downside_beta_ks200_1y_krw,corr_sp500_60d_krw,corr_kospi200_60d_krw,beta_soxx_1y_krw,downside_beta_soxx_1y_krw,corr_soxx_60d_krw,beta_usdkrw_1y,beta_uso_1y_krw,beta_gld_1y_krw,beta_kr_financial_basket_1y_krw,avg_stress_ret_krw,return_observation_count,stress_observation_count,sp500_overlap_count,ks200_overlap_count,soxx_overlap_count,usdkrw_overlap_count,uso_overlap_count,gld_overlap_count,kr_financial_overlap_count,annual_return_1y_krw,sharpe_1y_krw_proxy,data_version
000270.KS,kr_stock,KRW,0.386477,-0.264203,-0.034263,-0.061279,0.058029,0.107497,0.969393,1.106029,-0.232481,0.808781,0.037153,0.130221,0.022399,0.019123,-0.081705,-0.004996,250399925811.82135,0.386477,-0.264203,-0.034263,-0.061279,0.058029,0.107497,0.969393,1.106029,-0.232481,0.808781,0.037153,0.130221,0.022399,-0.318803,0.019123,-0.081705,0.516905,-0.004996,4781,266,4621,4725,1185,4195,4621,4621,4781,0.876478,1.809336,20260520
000660.KS,kr_stock,KRW,0.454169,-0.265696,-0.06321,-0.083402,0.122468,0.255832,1.320845,1.245427,-0.147889,0.93612,0.143288,0.136832,0.143982,0.015815,-0.07686,-0.01021,5637580820917.09,0.454169,-0.265696,-0.06321,-0.083402,0.122468,0.255832,1.320845,1.245427,-0.147889,0.93612,0.143288,0.136832,0.143982,-0.412673,0.015815,-0.07686,0.48254,-0.01021,4781,266,4621,4725,1185,4195,4621,4621,4781,9.426572,14.122778,20260520
000810.KS,kr_stock,KRW,0.33206,-0.276984,-0.039109,-0.067074,0.010814,0.115902,0.643034,0.716285,-0.169489,0.585407,-0.029926,0.104035,-0.12376,0.034411,0.002744,-0.004478,75171861237.62083,0.33206,-0.276984,-0.039109,-0.067074,0.010814,0.115902,0.643034,0.716285,-0.169489,0.585407,-0.029926,0.104035,-0.12376,-0.228365,0.034411,0.002744,0.555233,-0.004478,4781,266,4621,4725,1185,4195,4621,4621,4781,0.540616,0.935618,20260520
003670.KS,kr_stock,KRW,0.460801,-0.283503,-0.050515,-0.075963,0.006153,0.14225,0.77809,0.872175,-0.333537,0.728575,0.004437,-0.001451,-0.132986,0.002062,-0.068528,-0.005132,101537447054.79427,0.460801,-0.283503,-0.050515,-0.075963,0.006153,0.14225,0.77809,0.872175,-0.333537,0.728575,0.004437,-0.001451,-0.132986,-0.352848,0.002062,-0.068528,0.260865,-0.005132,4781,266,4621,4725,1185,4195,4621,4621,4781,0.85971,1.266769,20260520
005380.KS,kr_stock,KRW,0.377443,-0.339021,-0.043444,-0.066223,0.045767,0.135676,1.008842,1.031589,-0.261711,0.775403,0.057277,0.147154,-0.03714,0.034876,-0.055553,-0.005493,980420608216.1432,0.377443,-0.339021,-0.043444,-0.066223,0.045767,0.135676,1.008842,1.031589,-0.261711,0.775403,0.057277,0.147154,-0.03714,-0.300139,0.034876,-0.055553,0.527248,-0.005493,4781,266,4621,4725,1185,4195,4621,4621,4781,2.616666,4.419372,20260520
005490.KS,kr_stock,KRW,0.360116,-0.22155,-0.034247,-0.058746,0.007647,0.103868,0.983609,1.029619,-0.342188,0.710055,-0.01652,-0.053539,-0.179702,0.033518,-0.137675,-0.005251,210680360657.7948,0.360116,-0.22155,-0.034247,-0.058746,0.007647,0.103868,0.983609,1.029619,-0.342188,0.710055,-0.01652,-0.053539,-0.179702,-0.418473,0.033518,-0.137675,0.52747,-0.005251,4781,266,4621,4725,1185,4195,4621,4621,4781,0.837124,1.734956,20260520
005930.KS,kr_stock,KRW,0.308878,-0.23144,-0.043736,-0.068694,0.038313,0.094273,1.097526,0.950517,-0.232455,0.960254,0.065818,0.048414,0.059297,0.024224,-0.045972,-0.005363,6426947260364.441,0.308878,-0.23144,-0.043736,-0.068694,0.038313,0.094273,1.097526,0.950517,-0.232455,0.960254,0.065818,0.048414,0.059297,-0.315283,0.024224,-0.045972,0.412148,-0.005363,4781,266,4621,4725,1185,4195,4621,4621,4781,4.152363,7.863704,20260520
006400.KS,kr_stock,KRW,0.421579,-0.246781,-0.045572,-0.070127,0.043592,0.092666,0.998912,1.030954,-0.245378,0.588904,-0.012965,-0.033497,-0.051305,0.022664,-0.077947,-0.00733,453826326275.0,0.421579,-0.246781,-0.045572,-0.070127,0.043592,0.092666,0.998912,1.030954,-0.245378,0.588904,-0.012965,-0.033497,-0.051305,-0.329289,0.022664,-0.077947,0.39679,-0.00733,4781,266,4621,4725,1185,4195,4621,4621,4781,2.482955,3.98658,20260520
011200.KS,kr_stock,KRW,0.54877,-0.280925,-0.028946,-0.049941,-0.04707,-0.095855,0.785561,0.83759,-0.287535,0.342177,-0.084124,-0.157912,-0.270769,-0.017192,-0.079118,-0.000737,44440974391.3178,0.54877,-0.280925,-0.028946,-0.049941,-0.04707,-0.095855,0.785561,0.83759,-0.287535,0.342177,-0.084124,-0.157912,-0.270769,-0.314981,-0.017192,-0.079118,0.415435,-0.000737,4781,266,4621,4725,1185,4195,4621,4621,4781,0.126733,0.246571,20260520
017670.KS,kr_stock,KRW,0.255336,-0.187283,-0.022094,-0.047694,-0.002631,0.037539,0.352013,0.437337,-0.165655,0.592423,-0.034553,-0.003882,0.052001,-0.000358,-0.027434,-0.001759,92741758020.0,0.255336,-0.187283,-0.022094,-0.047694,-0.002631,0.037539,0.352013,0.437337,-0.165655,0.592423,-0.034553,-0.003882,0.052001,-0.071288,-0.000358,-0.027434,0.209321,-0.001759,4781,266,4621,4725,1185,4195,4621,4621,4781,0.909637,2.299429,20260520
032830.KS,kr_stock,KRW,0.311537,-0.197154,-0.037272,-0.054363,-0.026675,0.133416,0.708752,0.766349,-0.225732,0.792866,-0.012067,0.114015,0.02393,0.013584,-0.016462,-0.004678,110070833491.66667,0.311537,-0.197154,-0.037272,-0.054363,-0.026675,0.133416,0.708752,0.766349,-0.225732,0.792866,-0.012067,0.114015,0.02393,-0.325516,0.013584,-0.016462,0.922402,-0.004678,3936,158,3812,3895,1185,3463,3812,3812,3936,2.759509,5.473747,20260520
034020.KS,kr_stock,KRW,0.508975,-0.247925,-0.059657,-0.080182,0.074827,0.214301,1.127018,1.274963,-0.299186,0.717844,0.036143,0.148829,-0.087091,0.033172,-0.088119,-0.008922,544202729843.3333,0.508975,-0.247925,-0.059657,-0.080182,0.074827,0.214301,1.127018,1.274963,-0.299186,0.717844,0.036143,0.148829,-0.087091,-0.427087,0.033172,-0.088119,0.582473,-0.008922,4781,266,4621,4725,1185,4195,4621,4621,4781,2.872193,4.278067,20260520
035420.KS,kr_stock,KRW,0.417846,-0.31891,-0.043475,-0.060452,-0.05893,0.083592,0.779772,0.851495,-0.298735,0.755389,0.006498,0.096854,-0.033402,-0.034208,-0.049466,-0.004623,186098510246.40756,0.417846,-0.31891,-0.043475,-0.060452,-0.05893,0.083592,0.779772,0.851495,-0.298735,0.755389,0.006498,0.096854,-0.033402,-0.346679,-0.034208,-0.049466,0.346083,-0.004623,4781,266,4621,4725,1185,4195,4621,4621,4781,0.007984,-0.046966,20260520
035720.KS,kr_stock,KRW,0.406648,-0.396172,-0.042737,-0.070358,0.008151,0.11844,0.769637,0.927182,-0.357178,0.751754,0.022317,-0.001076,-0.130448,-0.025157,-0.077152,-0.007714,105663993892.94252,0.406648,-0.396172,-0.042737,-0.070358,0.008151,0.11844,0.769637,0.927182,-0.357178,0.751754,0.022317,-0.001076,-0.130448,-0.36891,-0.025157,-0.077152,0.337341,-0.007714,4781,266,4621,4725,1185,4195,4621,4621,4781,0.111359,0.154789,20260520
051910.KS,kr_stock,KRW,0.438376,-0.308701,-0.046009,-0.079053,0.035811,0.078886,1.131428,1.121067,-0.305782,0.714508,-0.015487,0.013542,-0.043674,0.023057,-0.058164,-0.007487,139570952357.56876,0.438376,-0.308701,-0.046009,-0.079053,0.035811,0.078886,1.131428,1.121067,-0.305782,0.714508,-0.015487,0.013542,-0.043674,-0.390508,0.023057,-0.058164,0.483812,-0.007487,4781,266,4621,4725,1185,4195,4621,4621,4781,0.737957,1.256513,20260520
055550.KS,kr_stock,KRW,0.327382,-0.165477,-0.026715,-0.042031,-0.009201,0.071834,0.885315,0.898327,-0.304527,0.660168,0.007425,0.001018,-0.078856,-0.002961,-0.106119,-0.00511,144797096074.83707,0.327382,-0.165477,-0.026715,-0.042031,-0.009201,0.071834,0.885315,0.898327,-0.304527,0.660168,0.007425,0.001018,-0.078856,-0.337086,-0.002961,-0.106119,0.983115,-0.00511,4781,266,4621,4725,1185,4195,4621,4621,4781,0.870503,2.496017,20260520
066570.KS,kr_stock,KRW,0.390107,-0.274659,-0.034416,-0.061415,0.060252,0.104082,0.931739,0.940461,-0.239123,0.52087,0.031012,-0.070547,-0.107234,0.036754,-0.051512,-0.006955,265575773598.21576,0.390107,-0.274659,-0.034416,-0.061415,0.060252,0.104082,0.931739,0.940461,-0.239123,0.52087,0.031012,-0.070547,-0.107234,-0.334288,0.036754,-0.051512,0.447613,-0.006955,4781,266,4621,4725,1185,4195,4621,4621,4781,2.0825,3.642056,20260520
068270.KS,kr_stock,KRW,0.488696,-0.262777,-0.03276,-0.048855,-0.040862,-0.000214,0.683955,0.809507,-0.374119,0.694424,-0.063269,-0.015903,-0.134282,-0.001845,-0.069269,-0.002263,118699422186.66667,0.488696,-0.262777,-0.03276,-0.048855,-0.040862,-0.000214,0.683955,0.809507,-0.374119,0.694424,-0.063269,-0.015903,-0.134282,-0.330203,-0.001845,-0.069269,0.302689,-0.002263,4781,266,4621,4725,1185,4195,4621,4621,4781,0.186145,0.424984,20260520
