candidate_label,expected_scenario_code,case_count,evaluated_count,improved_count,mixed_count,worsened_count,insufficient_history_count,worsened_rate,avg_cvar_delta,avg_mdd_delta,avg_stress_loss_delta,avg_return_drag,avg_implementation_cost,avg_recurring_rebalance_cost,avg_total_path_cost,avg_net_cvar_delta,avg_net_mdd_delta,avg_net_stress_loss_delta,avg_cost_adjusted_return_drag,cash_beats_count,cash_mixed_count,cash_lags_count,avg_hedge_vs_cash_cvar_delta,avg_hedge_vs_cash_mdd_delta,avg_hedge_vs_cash_stress_loss_delta,metric_worsened_counts,worst_metric,worst_metric_delta,worst_case_name
DBC,acute_global_stress_liquidity_crunch,9,6,3,0,3,3,0.5,0.004342,0.002482,-0.032967,-0.189874,0.0003,0.0,0.0003,0.004342,0.002482,-0.033263,-0.191335,0,0,6,-0.007889,-0.033158,-0.028139,net_CVaR=0; net_MDD=3; net_stress_loss=6; cost_adjusted_return_drag=6; cash_net_CVaR=6; cash_net_MDD=6; cash_net_stress_loss=6; CVaR=0; MDD=3; stress_loss=6; return_drag=6,cost_adjusted_return_drag,-0.452005,2023 US Regional Bank / Credit Stress
DBC,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.002345,0.007318,-0.224402,-0.09028,0.0003,0.0,0.0003,0.002345,0.007318,-0.224987,-0.090522,0,0,3,-0.000618,-0.006118,-0.006521,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.342576,China Slowdown / Property Stress
DBC,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.003012,0.019223,0.003826,0.018044,0.0003,0.0,0.0003,0.003012,0.019223,0.003516,0.016575,3,0,0,-0.000585,0.004103,0.009537,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=2; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.001668,2024 Middle East / Shipping Supply Shock
DBC,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.002929,-0.003407,0.0669,0.075975,0.0003,0.0,0.0003,0.002929,-0.003407,0.066605,0.075638,0,0,3,-0.002749,-0.046751,0.047686,net_CVaR=0; net_MDD=3; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=3; stress_loss=0; return_drag=0,cash_net_MDD,-0.072245,2022 Global Rate Shock
DBC,semiconductor_ai_cycle_shock,3,3,3,0,0,0,0.0,0.004724,0.007095,-0.029026,-0.079675,0.0003,0.0,0.0003,0.004724,0.007095,-0.02934,-0.080516,0,0,3,-0.000545,-0.013932,-0.012461,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.119935,2024 AI Semiconductor Concentration / Pullback Risk
DBC,stagflation_reinflation_energy_shock,3,3,3,0,0,0,0.0,0.003764,0.000132,0.038913,0.055501,0.0003,0.0,0.0003,0.003764,0.000132,0.038608,0.055062,1,0,2,-0.001754,-0.041874,0.032606,net_CVaR=0; net_MDD=1; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=2; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=1; stress_loss=0; return_drag=0,cash_net_MDD,-0.065285,Russia-Ukraine / War-Energy Shock
DBC,usd_strength_krw_weakness,3,3,3,0,0,0,0.0,0.004529,0.015883,-0.018625,-0.040585,0.0003,0.0,0.0003,0.004469,0.015759,-0.018896,-0.041164,0,0,3,-0.002295,-0.027324,-0.040391,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.061361,2022 KRW Weakness / USD Strength
GLD,acute_global_stress_liquidity_crunch,9,6,6,0,0,3,0.0,0.010083,0.028243,0.012286,0.032337,0.0003,0.0,0.0003,0.010083,0.028243,0.011975,0.030451,3,0,3,-0.002149,-0.007398,0.017114,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,cost_adjusted_return_drag,-0.126426,2023 US Regional Bank / Credit Stress
GLD,china_trade_fragmentation_shock,3,3,3,0,0,0,0.0,0.003619,0.019816,-0.13636,-0.054242,0.0003,0.0,0.0003,0.003619,0.019816,-0.136977,-0.054491,3,0,0,0.000656,0.00638,0.081521,net_CVaR=0; net_MDD=0; net_stress_loss=3; cost_adjusted_return_drag=3; cash_net_CVaR=0; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=3; return_drag=3,net_stress_loss,-0.210832,China Slowdown / Property Stress
GLD,geopolitical_escalation_supply_shock,3,3,3,0,0,0,0.0,0.002349,0.026695,0.012507,0.059951,0.0003,0.0,0.0003,0.002349,0.026695,0.012196,0.058424,3,0,0,-0.001247,0.011576,0.018219,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=0; cash_net_stress_loss=0; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_CVaR,-0.002469,2024 Middle East / Shipping Supply Shock
GLD,higher_for_longer_long_rate_shock,3,3,3,0,0,0,0.0,0.003893,0.020206,0.003067,0.003463,0.0003,0.0,0.0003,0.003893,0.020206,0.002793,0.003153,0,0,3,-0.001786,-0.023138,-0.016147,net_CVaR=0; net_MDD=0; net_stress_loss=0; cost_adjusted_return_drag=0; cash_net_CVaR=3; cash_net_MDD=3; cash_net_stress_loss=3; CVaR=0; MDD=0; stress_loss=0; return_drag=0,cash_net_MDD,-0.034927,2022 Global Rate Shock
