candidate_source,candidate_name,recommendation_status,backtest_gate_status,formal_gate_blockers,formal_gate_blocker_count,target_evaluated_count,target_improved_count,target_worsened_count,target_insufficient_history_count,target_lags_cash_count,target_bootstrap_robust_count,target_bootstrap_count,target_bootstrap_min_p_improve,target_bootstrap_avg_p_improve,target_avg_cash_net_stress_delta,target_min_cash_net_stress_delta,target_avg_cash_net_mdd_delta,target_min_cash_net_mdd_delta,target_avg_cash_net_cvar_delta,target_min_cash_net_cvar_delta,target_max_turnover,combo_min_adv_60,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_readiness_score,backtest_reason,reference_reason,gate_fail_reasons
multi,GLD + SHY,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.405,0.47,-0.014164,-0.014408,-0.016912,-0.017709,-0.001156,-0.001288,0.2,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,68.1,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,IEF + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.405,0.455,-0.010013,-0.01002,-0.009785,-0.010335,-0.000647,-0.000679,0.100001,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,68.1,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,SHY + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.395,0.415,-0.00727,-0.007329,-0.009127,-0.00967,-0.000605,-0.000648,0.100001,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,67.9,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,SHY + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.39,0.4775,-0.01386,-0.014039,-0.01694,-0.017733,-0.00115,-0.001279,0.2,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,67.8,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,GLD + SHY,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.37,0.46,-0.007443,-0.007539,-0.009113,-0.009658,-0.00061,-0.000654,0.100001,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,67.4,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,IEF + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.36,0.425,-0.020026,-0.020039,-0.019954,-0.020811,-0.001372,-0.001498,0.2,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,67.2,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,IEF + GLD,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.335,0.4075,-0.010165,-0.010204,-0.009772,-0.010324,-0.000651,-0.000685,0.100001,1378840058167.9148,,,OK_ADV_FLOOR_NO_ORDER_SIZE,66.7,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,IEF + GLD,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.33,0.41,-0.020329,-0.020408,-0.019926,-0.020787,-0.001376,-0.001507,0.2,1378840058167.9148,,,OK_ADV_FLOOR_NO_ORDER_SIZE,66.6,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,TLT + GLD,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.28,0.35,-0.014227,-0.014228,-0.010727,-0.011303,-0.000717,-0.000736,0.100001,4175625624321.1646,,,OK_ADV_FLOOR_NO_ORDER_SIZE,65.6,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,TLT + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.28,0.3575,-0.014075,-0.014108,-0.01074,-0.011313,-0.000713,-0.00073,0.100001,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,65.6,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,TLT + IAU,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.275,0.335,-0.028148,-0.028213,-0.021836,-0.022732,-0.001522,-0.001569,0.2,1268387351300.059,,,OK_ADV_FLOOR_NO_ORDER_SIZE,65.5,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
multi,TLT + GLD,REFERENCE_ONLY,REFERENCE_ONLY_CASH_BASELINE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,2,2,0,0,2,0,2,0.27,0.355,-0.028452,-0.028452,-0.021808,-0.022709,-0.001526,-0.001579,0.2,4175625624321.1646,,,OK_ADV_FLOOR_NO_ORDER_SIZE,65.4,target-scenario hedge did not beat cash-only de-risking in 2 stress case,annual return drag soft warning,
one_to_one,GLD,REFERENCE_ONLY,VALIDATION_THIN,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,1,1,0,0,1,0,1,0.47,0.47,-0.016239,-0.016239,-0.021138,-0.021138,-0.001381,-0.001381,0.2,6879693699387.566,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.4,target-scenario backtest has only 1 evaluated stress case; 표본 부족,annual return drag soft warning,
multi,GLD + SHY,FAIL_GATE,REFERENCE_ONLY_CASH_BASELINE,fail_gate|cash_baseline_lag|bootstrap_not_robust,3,2,2,0,0,2,0,2,0.46,0.495,-0.019079,-0.0196,-0.02048,-0.021338,-0.001412,-0.001555,0.3,598507121135.5558,,,OK_ADV_FLOOR_NO_ORDER_SIZE,59.2,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,연환산 수익률 훼손 하드 게이트
