candidate_ticker,candidate_bucket,risk_bucket_match,input_aware_score,status,message,hedge_weight_pct,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot,backtest_gate_status,backtest_total_evaluated_count,backtest_total_worsened_count,backtest_target_evaluated_count,backtest_target_improved_count,backtest_target_mixed_count,backtest_target_worsened_count,backtest_target_insufficient_history_count,backtest_target_beats_cash_count,backtest_target_mixed_cash_count,backtest_target_lags_cash_count,backtest_target_bootstrap_count,backtest_target_bootstrap_robust_count,backtest_target_bootstrap_uncertain_count,backtest_target_bootstrap_min_p_improve,backtest_target_bootstrap_avg_p_improve,backtest_target_avg_cash_net_stress_delta,backtest_target_min_cash_net_stress_delta,backtest_target_avg_cash_net_mdd_delta,backtest_target_min_cash_net_mdd_delta,backtest_target_avg_cash_net_cvar_delta,backtest_target_min_cash_net_cvar_delta,backtest_target_max_turnover,backtest_context_worsened_count,backtest_evaluated_count,backtest_improved_count,backtest_mixed_count,backtest_worsened_count,backtest_insufficient_history_count,backtest_reason,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_gate_blockers,formal_gate_blocker_count,formal_gate_blocker_summary,user_recommendation_label,active_adverse_scenarios
TLT,bond,higher_for_longer_long_rate_shock,0.681554,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""TLT"": 10.0}",single candidate allocation,0.21748,0.195063,-0.293939,-0.262826,-0.029725,-0.026547,0.381285,0.346922,1.615249,1.62472,-0.000914,-0.000705,0.279977,0.3429,0.76943,0.694575,0.750579,0.663257,0.338346,0.297125,10.30804,10.585063,10.690065,0.000209,-0.062924,0.074854,0.074854,0.009471,0.586367,-0.034363,-9.012446,0.087322,0.041221,4175625624321.1646,0.494617,0.71646,0.75677,0.351505,0.560062,0.602699,0.521171,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - TLT: fx_missing_warn,,0.1,0.9,0.341908,0.320737,0.355571,0.350185,-0.021171,-0.005386,0.521171,0.021171,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,TLT: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.55148,"Stress 방어, MDD 개선, Return drag control / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""TLT"": 10.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.165,0.165,-0.028263,-0.028263,-0.015025,-0.015025,-0.000689,-0.000689,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock
IEF,bond,higher_for_longer_long_rate_shock,0.658579,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""IEF"": 10.0}",single candidate allocation,0.21748,0.195775,-0.293939,-0.264359,-0.029725,-0.026669,0.381285,0.346289,1.615249,1.615574,-0.000914,-0.000743,0.279977,0.333228,0.76943,0.702315,0.750579,0.67477,0.338346,0.301023,9.98056,10.063476,10.278745,0.000171,-0.053251,0.067115,0.067115,0.000325,0.02011,-0.034997,-9.178599,0.075809,0.037323,1378840058167.9148,0.473588,0.702949,0.712617,0.325376,0.524303,0.191776,0.518877,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - IEF: fx_missing_warn,,0.1,0.9,0.341908,0.323031,0.355571,0.355502,-0.018877,-6.9e-05,0.518877,0.018877,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,IEF: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.523123,"Stress 방어, MDD 개선, Return drag control / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IEF"": 10.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.355,0.355,-0.014855,-0.014855,-0.007731,-0.007731,-0.000423,-0.000423,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,5,Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock
GLD,gold,stagflation_reinflation_energy_shock,0.646873,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""GLD"": 10.0}",single candidate allocation,0.21748,0.198145,-0.293939,-0.265593,-0.029725,-0.026909,0.381285,0.362551,1.615249,1.678326,-0.000914,-0.000743,0.279977,0.354424,0.76943,0.710465,0.750579,0.690098,0.338346,0.334058,8.890839,9.643794,9.470906,0.000171,-0.074447,0.058964,0.058964,0.063077,3.905072,-0.018734,-4.913356,0.060481,0.004288,6879693699387.566,0.432287,0.692078,0.712982,0.29786,0.769637,1.0,0.533085,0.5,REFERENCE_ONLY,,target-scenario backtest has only 1 evaluated stress case; 표본 부족,DQ WARN non-blocking - GLD: fx_missing_warn,,0.1,0.9,0.341908,0.308823,0.355571,0.322576,-0.033085,-0.032995,0.533085,0.033085,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,GLD: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.557921,"유동성 양호, Return drag control, Sharpe 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 10.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.42,0.42,-0.00812,-0.00812,-0.010211,-0.010211,-0.000672,-0.000672,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_thin|cash_baseline_lag|bootstrap_not_robust|reference_only,4,Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Candidate remains reference-only after formal gate checks.,참고용 후보,stagflation_reinflation_energy_shock
SHY,bond,higher_for_longer_long_rate_shock,0.644897,FAIL,FAIL: active adverse scenario 민감도 증가,10.0,10.0,,,,,1,single_asset_budget,"{""SHY"": 10.0}",single candidate allocation,0.21748,0.196448,-0.293939,-0.266482,-0.029725,-0.026793,0.381285,0.346056,1.615249,1.608851,-0.000914,-0.000765,0.279977,0.325006,0.76943,0.707106,0.750579,0.681943,0.338346,0.301517,9.670759,9.34116,9.861272,0.000148,-0.045029,0.062324,0.062324,-0.006399,-0.396133,-0.035229,-9.239522,0.068635,0.036829,598507121135.5558,0.452244,0.684238,0.686596,0.309202,0.498018,0.077124,0.517309,0.5,FAIL_GATE,active adverse scenario 민감도 증가,annual return drag soft warning,DQ WARN non-blocking - SHY: fx_missing_warn,,0.1,0.9,0.341908,0.324599,0.355571,0.359134,-0.017309,0.003563,0.517309,0.017309,0.003563,0.0,adverse_scenario_sensitive,hedge_candidate,SHY: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 늘릴 수 있어 감점됩니다.",0.506557,"Stress 방어, MDD 개선, Return drag control / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 늘릴 수 있어 감점됩니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""SHY"": 10.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.565,0.565,-0.004854,-0.004854,-0.002546,-0.002546,-0.000158,-0.000158,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,Candidate failed a hard gate.; Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.,기준 미통과,higher_for_longer_long_rate_shock
IAU,gold,stagflation_reinflation_energy_shock,0.629642,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""IAU"": 10.0}",single candidate allocation,0.21748,0.198119,-0.293939,-0.26552,-0.029725,-0.026915,0.381285,0.362824,1.615249,1.679921,-0.000914,-0.000741,0.279977,0.35435,0.76943,0.710425,0.750579,0.69015,0.338346,0.334136,8.902658,9.668561,9.450392,0.000173,-0.074373,0.059005,0.059005,0.064672,4.003835,-0.018461,-4.841779,0.060429,0.00421,1268387351300.059,0.431238,0.692719,0.715634,0.297997,0.775874,0.175547,0.533105,0.5,REFERENCE_ONLY,,target-scenario backtest has only 1 evaluated stress case; 표본 부족,DQ WARN non-blocking - IAU: fx_missing_warn,,0.1,0.9,0.341908,0.308803,0.355571,0.32253,-0.033105,-0.033041,0.533105,0.033105,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,IAU: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.537152,"Return drag control, Sharpe 개선, Stress 방어 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IAU"": 10.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.435,0.435,-0.00795,-0.00795,-0.010232,-0.010232,-0.000669,-0.000669,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_thin|cash_baseline_lag|bootstrap_not_robust|reference_only,4,Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Candidate remains reference-only after formal gate checks.,참고용 후보,stagflation_reinflation_energy_shock
DBC,commodity_energy,stagflation_reinflation_energy_shock,0.587538,FAIL,FAIL: Stress 개선 미달,10.0,10.0,,,,,1,single_asset_budget,"{""DBC"": 10.0}",single candidate allocation,0.21748,0.20179,-0.293939,-0.285092,-0.029725,-0.027758,0.381285,0.357087,1.615249,1.620928,-0.000914,-0.001112,0.279977,0.272373,0.76943,0.732392,0.750579,0.727545,0.338346,0.305911,7.214608,3.009795,6.615551,-0.000198,0.007603,0.037038,0.037038,0.005679,0.351599,-0.024198,-6.346389,0.023034,0.032435,73595336412.57709,0.286305,0.520234,0.282896,0.223835,0.545237,0.0,0.523234,0.5,FAIL_GATE,Stress 개선 미달,annual return drag soft warning,DQ WARN non-blocking - DBC: fx_missing_warn,,0.1,0.9,0.341908,0.318675,0.355571,0.330647,-0.023234,-0.024924,0.523234,0.023234,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,DBC: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.409993,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""DBC"": 10.0}",VALIDATION_THIN,8,1,1,1,0,0,0,1,0,0,1,0,1,0.83,0.83,0.016154,0.016154,-0.018958,-0.018958,9.6e-05,9.6e-05,0.100001,1,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,fail_gate|validation_thin|bootstrap_not_robust|liquidity_below_formal|return_drag_reference,5,Candidate failed a hard gate.; Target stress validation sample is too small for formal use.; Target stress bootstrap confidence is not robust.; 60-day ADV evidence is missing or below the formal threshold.; Pre-backtest scoring kept the candidate reference-only because of return drag.,기준 미통과,stagflation_reinflation_energy_shock
XLP,defensive,core_hedge,0.556734,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""XLP"": 10.0}",single candidate allocation,0.21748,0.202335,-0.293939,-0.274699,-0.029725,-0.027711,0.381285,0.35581,1.615249,1.610249,-0.000914,-0.000911,0.279977,0.345809,0.76943,0.75609,0.750579,0.740169,0.338346,0.297545,6.964033,6.545713,6.77316,3e-06,-0.065833,0.013339,0.013339,-0.005,-0.309549,-0.025475,-6.681427,0.010409,0.040801,1919142658012.324,0.294363,0.611827,0.516697,0.143828,0.503485,0.271161,0.520123,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - XLP: fx_missing_warn,,0.1,0.9,0.341908,0.321785,0.355571,0.346809,-0.020123,-0.008762,0.520123,0.020123,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,XLP: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.439644,"Return drag control, MDD 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLP"": 10.0}",VALIDATION_INSUFFICIENT,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,target-scenario historical validation has insufficient history; 검증 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_insufficient|return_drag_reference|reference_only,3,Target stress validation has insufficient history.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,core_hedge
XLU,defensive,core_hedge,0.541638,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""XLU"": 10.0}",single candidate allocation,0.21748,0.202836,-0.293939,-0.285986,-0.029725,-0.027596,0.381285,0.360184,1.615249,1.627835,-0.000914,-0.00098,0.279977,0.347555,0.76943,0.75954,0.750579,0.745123,0.338346,0.298875,6.733494,2.705701,7.161652,-6.6e-05,-0.067578,0.009889,0.009889,0.012586,0.779195,-0.021101,-5.534146,0.005455,0.039471,1650141913885.7173,0.314225,0.512357,0.436439,0.132181,0.572239,0.231637,0.518017,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - XLU: fx_missing_warn,,0.1,0.9,0.341908,0.323892,0.355571,0.34931,-0.018017,-0.006261,0.518017,0.018017,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,XLU: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.426765,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLU"": 10.0}",VALIDATION_INSUFFICIENT,8,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,0,0,0,0,target-scenario historical validation has insufficient history; 검증 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_insufficient|return_drag_reference|reference_only,3,Target stress validation has insufficient history.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,core_hedge
XLV,defensive,core_hedge,0.537805,PASS,PASS,10.0,10.0,,,,,1,single_asset_budget,"{""XLV"": 10.0}",single candidate allocation,0.21748,0.204716,-0.293939,-0.279756,-0.029725,-0.028051,0.381285,0.355433,1.615249,1.589679,-0.000914,-0.000827,0.279977,0.365284,0.76943,0.76923,0.750579,0.749848,0.338346,0.296615,5.869101,4.825407,5.628565,8.6e-05,-0.085307,0.0002,0.0002,-0.02557,-1.583022,-0.025852,-6.780182,0.000731,0.041731,2648432768783.628,0.235845,0.567265,0.614247,0.099469,0.423066,0.378313,0.516881,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - XLV: fx_missing_warn,,0.1,0.9,0.341908,0.325027,0.355571,0.351833,-0.016881,-0.003738,0.516881,0.016881,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,XLV: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.426004,"Return drag control, Stress 방어, MDD 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""XLV"": 10.0}",VALIDATION_INSUFFICIENT,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,target-scenario historical validation has insufficient history; 검증 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,validation_insufficient|return_drag_reference|reference_only,3,Target stress validation has insufficient history.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,core_hedge
USO,commodity_energy,stagflation_reinflation_energy_shock,0.53439,FAIL,FAIL: MDD 개선 미달; Stress 개선 미달,10.0,10.0,,,,,1,single_asset_budget,"{""USO"": 10.0}",single candidate allocation,0.21748,0.20854,-0.293939,-0.313365,-0.029725,-0.02907,0.381285,0.360307,1.615249,1.583899,-0.000914,-0.001134,0.279977,0.153026,0.76943,0.757161,0.750579,0.78588,0.338346,0.247335,4.110748,-6.608764,2.202627,-0.00022,0.126951,0.012269,0.126951,-0.03135,-1.940867,-0.020978,-5.50196,-0.035301,0.091011,6164918368774.204,0.060693,0.271081,0.25677,0.527384,0.400468,0.89498,0.517648,0.5,FAIL_GATE,MDD 개선 미달; Stress 개선 미달,annual return drag soft warning,DQ WARN non-blocking - USO: fx_missing_warn,,0.1,0.9,0.341908,0.324261,0.355571,0.337178,-0.017648,-0.018393,0.517648,0.017648,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,USO: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.352428,"Return drag control, 유동성 양호, 노출(beta/corr) 감소 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""USO"": 10.0}",VALIDATION_THIN,8,2,1,1,0,0,0,0,0,1,1,0,1,0.775,0.775,0.024511,0.024511,-0.028754,-0.028754,-0.000558,-0.000558,0.100001,2,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,OK_ADV_FLOOR_NO_ORDER_SIZE,fail_gate|validation_thin|cash_baseline_lag|bootstrap_not_robust|return_drag_reference,5,Candidate failed a hard gate.; Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.,기준 미통과,stagflation_reinflation_energy_shock
