candidate_combo,candidate_bucket_combo,risk_bucket_match,status,message,hedge_budget_pct,hedge_budget_krw,hedge_invested_krw,hedge_cash_left_krw,hedge_share_counts,combo_size,allocation_method,allocation_weights,allocation_objective_reason,base_vol_annual,proposed_vol_annual,base_mdd,proposed_mdd,base_cvar_95,proposed_cvar_95,base_annual_return_krw,proposed_annual_return_krw,base_sharpe_krw_proxy,proposed_sharpe_krw_proxy,base_stress_avg_ret_krw,proposed_stress_avg_ret_krw,base_corr_sp500_krw,proposed_corr_sp500_krw,base_beta_sp500_krw,proposed_beta_sp500_krw,base_downside_beta_sp500_krw,proposed_downside_beta_sp500_krw,base_corr_kospi200_krw,proposed_corr_kospi200_krw,vol_improve_pct,mdd_improve_pct,cvar_improve_pct,stress_improve,corr_improve,beta_improve,exposure_improve,sharpe_improve,sharpe_improve_pct,annual_return_improve,annual_return_improve_pct,downside_beta_improve,kospi_corr_improve,combo_min_adv_60,score_component_cvar,score_component_mdd,score_component_stress,score_component_exposure,score_component_sharpe,score_component_liquidity,score_component_scenario,score_component_concentration,recommendation_status,gate_fail_reasons,reference_reason,dq_warning_reasons,dq_blocking_reasons,dq_penalty,recommendation_confidence_score,base_scenario_vulnerability,proposed_scenario_vulnerability,base_gate_vulnerability,proposed_gate_vulnerability,scenario_vulnerability_delta,gate_vulnerability_delta,scenario_score_component,scenario_vulnerability_reduction,adverse_scenario_penalty,factor_concentration_penalty,recommended_role,candidate_role,candidate_role_reason_ko,scenario_reason_ko,final_score,recommendation_reason,weights_snapshot,backtest_gate_status,backtest_total_evaluated_count,backtest_total_worsened_count,backtest_target_evaluated_count,backtest_target_improved_count,backtest_target_mixed_count,backtest_target_worsened_count,backtest_target_insufficient_history_count,backtest_target_beats_cash_count,backtest_target_mixed_cash_count,backtest_target_lags_cash_count,backtest_target_bootstrap_count,backtest_target_bootstrap_robust_count,backtest_target_bootstrap_uncertain_count,backtest_target_bootstrap_min_p_improve,backtest_target_bootstrap_avg_p_improve,backtest_target_avg_cash_net_stress_delta,backtest_target_min_cash_net_stress_delta,backtest_target_avg_cash_net_mdd_delta,backtest_target_min_cash_net_mdd_delta,backtest_target_avg_cash_net_cvar_delta,backtest_target_min_cash_net_cvar_delta,backtest_target_max_turnover,backtest_context_worsened_count,backtest_evaluated_count,backtest_improved_count,backtest_mixed_count,backtest_worsened_count,backtest_insufficient_history_count,backtest_reason,liquidity_order_notional_krw,liquidity_adv_usage_pct,liquidity_capacity_status,formal_gate_blockers,formal_gate_blocker_count,formal_gate_blocker_summary,user_recommendation_label,active_adverse_scenarios
TLT + GLD,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""TLT"": 3.0, ""GLD"": 7.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.19703,-0.293939,-0.262531,-0.029725,-0.026776,0.381285,0.357896,1.615249,1.664192,-0.000914,-0.000732,0.279977,0.35187,0.76943,0.705698,0.750579,0.682045,0.338346,0.323823,9.403333,10.685236,9.921113,0.000182,-0.071893,0.063731,0.063731,0.048943,3.030028,-0.023389,-6.134351,0.068533,0.014523,4175625624321.1646,0.049055,0.109192,0.275483,0.060625,0.556713,1.0,0.529511,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - TLT: fx_missing_warn; DQ WARN non-blocking - GLD: fx_missing_warn,,0.1,0.9,0.341908,0.312397,0.355571,0.330858,-0.029511,-0.024713,0.529511,0.029511,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,TLT: 기본 포트폴리오 개선 후보 | GLD: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.336229,"유동성 양호, Return drag control, Sharpe 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""TLT"": 3.0, ""GLD"": 7.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.28,0.35,-0.014227,-0.014228,-0.010727,-0.011303,-0.000717,-0.000736,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
TLT + IAU,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""TLT"": 3.0, ""IAU"": 7.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197013,-0.293939,-0.262577,-0.029725,-0.026781,0.381285,0.358086,1.615249,1.6653,-0.000914,-0.00073,0.279977,0.351811,0.76943,0.70567,0.750579,0.682082,0.338346,0.323874,9.411148,10.66969,9.902389,0.000184,-0.071834,0.06376,0.06376,0.050051,3.09865,-0.023199,-6.084496,0.068497,0.014472,1268387351300.059,0.048093,0.108545,0.278359,0.060813,0.565476,0.291268,0.529525,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - TLT: fx_missing_warn; DQ WARN non-blocking - IAU: fx_missing_warn,,0.1,0.9,0.341908,0.312383,0.355571,0.330826,-0.029525,-0.024745,0.529525,0.029525,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,TLT: 기본 포트폴리오 개선 후보 | IAU: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.31835,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""TLT"": 3.0, ""IAU"": 7.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.28,0.3575,-0.014075,-0.014108,-0.01074,-0.011313,-0.000713,-0.00073,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
TLT + DBC,bond|commodity_energy,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""TLT"": 8.0, ""DBC"": 2.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.196172,-0.293939,-0.267328,-0.029725,-0.026759,0.381285,0.349017,1.615249,1.626214,-0.000914,-0.000787,0.279977,0.329467,0.76943,0.702139,0.750579,0.676114,0.338346,0.29955,9.798069,9.053248,9.975015,0.000127,-0.04949,0.067291,0.067291,0.010965,0.678825,-0.032268,-8.46301,0.074464,0.038796,73595336412.57709,0.051822,0.041226,0.17616,0.084204,0.256492,0.0,0.521584,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - TLT: fx_missing_warn; DQ WARN non-blocking - DBC: fx_missing_warn,,0.1,0.9,0.341908,0.320325,0.355571,0.346277,-0.021584,-0.009294,0.521584,0.021584,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,TLT: 기본 포트폴리오 개선 후보 | DBC: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.276152,"Return drag control, 현재 장세 취약도 개선, factor 집중 완화 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""TLT"": 8.0, ""DBC"": 2.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.19,0.2625,-0.018711,-0.019552,-0.012499,-0.013126,-0.000521,-0.000577,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; 60-day ADV evidence is missing or below the formal threshold.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
IEF + GLD,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""IEF"": 3.0, ""GLD"": 7.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197313,-0.293939,-0.262822,-0.029725,-0.02682,0.381285,0.357685,1.615249,1.660736,-0.000914,-0.000743,0.279977,0.348903,0.76943,0.70802,0.750579,0.685499,0.338346,0.324939,9.273179,10.586328,9.772261,0.000171,-0.068926,0.06141,0.06141,0.045487,2.816089,-0.0236,-6.189632,0.065079,0.013407,1378840058167.9148,0.041412,0.105073,0.254966,0.045245,0.529396,0.318195,0.528823,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - IEF: fx_missing_warn; DQ WARN non-blocking - GLD: fx_missing_warn,,0.1,0.9,0.341908,0.313085,0.355571,0.332453,-0.028823,-0.023118,0.528823,0.028823,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,IEF: 기본 포트폴리오 개선 후보 | GLD: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.310554,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IEF"": 3.0, ""GLD"": 7.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.335,0.4075,-0.010165,-0.010204,-0.009772,-0.010324,-0.000651,-0.000685,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
IEF + IAU,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""IEF"": 3.0, ""IAU"": 7.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197296,-0.293939,-0.263038,-0.029725,-0.026825,0.381285,0.357875,1.615249,1.661842,-0.000914,-0.000741,0.279977,0.348845,0.76943,0.707992,0.750579,0.685536,0.338346,0.32499,9.280996,10.512845,9.754621,0.000172,-0.068868,0.061438,0.061438,0.046593,2.884593,-0.02341,-6.13978,0.065043,0.013356,1268387351300.059,0.040506,0.102013,0.257841,0.045433,0.538143,0.291268,0.528837,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - IEF: fx_missing_warn; DQ WARN non-blocking - IAU: fx_missing_warn,,0.1,0.9,0.341908,0.313072,0.355571,0.332421,-0.028837,-0.02315,0.528837,0.028837,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,IEF: 기본 포트폴리오 개선 후보 | IAU: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.310129,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IEF"": 3.0, ""IAU"": 7.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.405,0.455,-0.010013,-0.01002,-0.009785,-0.010335,-0.000647,-0.000679,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
IEF + DBC,bond|commodity_energy,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""IEF"": 8.0, ""DBC"": 2.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.196834,-0.293939,-0.268548,-0.029725,-0.026867,0.381285,0.348484,1.615249,1.618031,-0.000914,-0.000817,0.279977,0.321569,0.76943,0.70833,0.750579,0.685325,0.338346,0.302545,9.493404,8.638177,9.614352,9.7e-05,-0.041592,0.061099,0.061099,0.002782,0.172212,-0.032801,-8.602851,0.065254,0.035801,73595336412.57709,0.033304,0.023939,0.121447,0.043191,0.191803,0.0,0.519748,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - IEF: fx_missing_warn; DQ WARN non-blocking - DBC: fx_missing_warn,,0.1,0.9,0.341908,0.32216,0.355571,0.350531,-0.019748,-0.00504,0.519748,0.019748,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,IEF: 기본 포트폴리오 개선 후보 | DBC: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.254935,"Return drag control, 현재 장세 취약도 개선, factor 집중 완화 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""IEF"": 8.0, ""DBC"": 2.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.385,0.4675,-0.00788,-0.008616,-0.009947,-0.010514,-0.000316,-0.000361,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; 60-day ADV evidence is missing or below the formal threshold.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
GLD + SHY,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""GLD"": 8.0, ""SHY"": 2.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197709,-0.293939,-0.263926,-0.029725,-0.026869,0.381285,0.359262,1.615249,1.665391,-0.000914,-0.000747,0.279977,0.349265,0.76943,0.709793,0.750579,0.688467,0.338346,0.328234,9.09124,10.210653,9.605301,0.000166,-0.069288,0.059636,0.059636,0.050142,3.104266,-0.022023,-5.775922,0.062112,0.010113,598507121135.5558,0.032839,0.089427,0.246961,0.0335,0.566193,0.127964,0.52993,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - GLD: fx_missing_warn; DQ WARN non-blocking - SHY: fx_missing_warn,,0.1,0.9,0.341908,0.311978,0.355571,0.329887,-0.02993,-0.025684,0.52993,0.02993,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,GLD: 기본 포트폴리오 개선 후보 | SHY: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.302294,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 8.0, ""SHY"": 2.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.37,0.46,-0.007443,-0.007539,-0.009113,-0.009658,-0.00061,-0.000654,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
GLD + DBC,commodity_energy|gold,stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""GLD"": 8.0, ""DBC"": 2.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.198711,-0.293939,-0.268705,-0.029725,-0.027055,0.381285,0.361502,1.615249,1.66826,-0.000914,-0.000817,0.279977,0.339326,0.76943,0.714851,0.750579,0.697587,0.338346,0.329723,8.630281,8.584899,8.981864,9.7e-05,-0.05935,0.054579,0.054579,0.053011,3.281934,-0.019783,-5.188486,0.052992,0.008623,73595336412.57709,0.000828,0.02172,0.121899,0.0,0.588879,0.0,0.531115,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - GLD: fx_missing_warn; DQ WARN non-blocking - DBC: fx_missing_warn,,0.1,0.9,0.341908,0.310793,0.355571,0.32419,-0.031115,-0.031381,0.531115,0.031115,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,GLD: 기본 포트폴리오 개선 후보 | DBC: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.26953,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""GLD"": 8.0, ""DBC"": 2.0}",VALIDATION_THIN,8,0,1,1,0,0,0,0,0,1,1,0,1,0.46,0.46,-0.003265,-0.003265,-0.012004,-0.012004,-0.000508,-0.000508,0.100001,0,1,1,0,0,0,target-scenario backtest has only 1 evaluated stress case; 표본 부족,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,validation_thin|cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,6,Target stress validation sample is too small for formal use.; Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; 60-day ADV evidence is missing or below the formal threshold.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,stagflation_reinflation_energy_shock
SHY + IAU,bond|gold,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""SHY"": 2.0, ""IAU"": 8.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197689,-0.293939,-0.263868,-0.029725,-0.026875,0.381285,0.35948,1.615249,1.666658,-0.000914,-0.000746,0.279977,0.349201,0.76943,0.709761,0.750579,0.688509,0.338346,0.328293,9.100355,10.230492,9.587397,0.000168,-0.069224,0.059669,0.059669,0.051409,3.18275,-0.021805,-5.718852,0.06207,0.010053,598507121135.5558,0.03192,0.090254,0.250248,0.033714,0.576214,0.127964,0.529946,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - SHY: fx_missing_warn; DQ WARN non-blocking - IAU: fx_missing_warn,,0.1,0.9,0.341908,0.311962,0.355571,0.329851,-0.029946,-0.02572,0.529946,0.029946,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,SHY: 기본 포트폴리오 개선 후보 | IAU: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.303136,"Return drag control, Sharpe 개선, 현재 장세 취약도 개선 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""SHY"": 2.0, ""IAU"": 8.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.395,0.415,-0.00727,-0.007329,-0.009127,-0.00967,-0.000605,-0.000648,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,OK_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|return_drag_reference|reference_only,4,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
SHY + DBC,bond|commodity_energy,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock,PASS,PASS,10.0,,,,,2,grid_scenario_risk,"{""SHY"": 8.0, ""DBC"": 2.0}",max grid objective: status + CVaR/MDD + scenario + Sharpe,0.21748,0.197399,-0.293939,-0.270238,-0.029725,-0.026972,0.381285,0.34829,1.615249,1.612421,-0.000914,-0.000835,0.279977,0.314903,0.76943,0.712163,0.750579,0.691064,0.338346,0.302856,9.233763,8.063354,9.259213,7.9e-05,-0.034926,0.057267,0.057267,-0.002828,-0.175111,-0.032995,-8.653675,0.059515,0.03549,73595336412.57709,0.015069,0.0,0.089203,0.017803,0.147454,0.0,0.518494,0.5,REFERENCE_ONLY,,annual return drag soft warning,DQ WARN non-blocking - SHY: fx_missing_warn; DQ WARN non-blocking - DBC: fx_missing_warn,,0.1,0.9,0.341908,0.323414,0.355571,0.353437,-0.018494,-0.002134,0.518494,0.018494,0.0,0.0,scenario_vulnerability_reducer,hedge_candidate,SHY: 기본 포트폴리오 개선 후보 | DBC: 기본 포트폴리오 개선 후보,"장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.",0.239064,"Return drag control, 현재 장세 취약도 개선, factor 집중 완화 / 장기금리 부담장, 달러강세/원화약세장, 물가·에너지 재상승장 기준 취약도를 낮추는 후보입니다.","{""MSFT"": 17.7039, ""NVDA"": 17.7039, ""AVGO"": 9.0566, ""XOM"": 10.1277, ""011200.KS"": 17.7039, ""207940.KS"": 17.7039, ""SHY"": 8.0, ""DBC"": 2.0}",REFERENCE_ONLY_CASH_BASELINE,8,0,2,2,0,0,0,0,0,2,2,0,2,0.575,0.65,0.000342,-0.000173,-0.005974,-0.006397,-5.7e-05,-8.2e-05,0.100001,0,2,2,0,0,0,target-scenario hedge did not beat cash-only de-risking in 2 stress case,,,BELOW_FORMAL_ADV_FLOOR_NO_ORDER_SIZE,cash_baseline_lag|bootstrap_not_robust|liquidity_below_formal|return_drag_reference|reference_only,5,Hedge lags a cash-only de-risking baseline in target stress.; Target stress bootstrap confidence is not robust.; 60-day ADV evidence is missing or below the formal threshold.; Pre-backtest scoring kept the candidate reference-only because of return drag.; Candidate remains reference-only after formal gate checks.,참고용 후보,higher_for_longer_long_rate_shock|stagflation_reinflation_energy_shock
