date,scenario_code,structured_confidence,structured_coverage,event_overlay_confidence,event_count,overlay_applied,final_confidence,merge_engine_version
2021-08-01,usd_strength_krw_weakness,23.038732,0.26087,,0,N,23.038732,phase6_final_market_state_v1
2021-08-02,usd_strength_krw_weakness,21.877318,0.26087,,0,N,21.877318,phase6_final_market_state_v1
2021-08-03,usd_strength_krw_weakness,21.026814,0.26087,,0,N,21.026814,phase6_final_market_state_v1
2021-08-04,acute_global_stress_liquidity_crunch,10.288973,0.25,,0,N,10.288973,phase6_final_market_state_v1
2021-08-04,geopolitical_escalation_supply_shock,6.173384,0.15,,0,N,6.173384,phase6_final_market_state_v1
2021-08-04,semiconductor_ai_cycle_shock,2.057795,0.05,,0,N,2.057795,phase6_final_market_state_v1
2021-08-04,usd_strength_krw_weakness,18.200685,0.26087,,0,N,18.200685,phase6_final_market_state_v1
2021-08-05,acute_global_stress_liquidity_crunch,12.602214,0.25,,0,N,12.602214,phase6_final_market_state_v1
2021-08-05,geopolitical_escalation_supply_shock,7.561329,0.15,,0,N,7.561329,phase6_final_market_state_v1
2021-08-05,semiconductor_ai_cycle_shock,2.520443,0.05,,0,N,2.520443,phase6_final_market_state_v1
2021-08-05,usd_strength_krw_weakness,17.542154,0.26087,,0,N,17.542154,phase6_final_market_state_v1
2021-08-06,acute_global_stress_liquidity_crunch,16.398847,0.25,,0,N,16.398847,phase6_final_market_state_v1
2021-08-06,geopolitical_escalation_supply_shock,9.839308,0.15,,0,N,9.839308,phase6_final_market_state_v1
2021-08-06,semiconductor_ai_cycle_shock,3.279769,0.05,,0,N,3.279769,phase6_final_market_state_v1
2021-08-08,usd_strength_krw_weakness,18.476812,0.26087,,0,N,18.476812,phase6_final_market_state_v1
2021-08-09,acute_global_stress_liquidity_crunch,14.380459,0.25,,0,N,14.380459,phase6_final_market_state_v1
2021-08-09,geopolitical_escalation_supply_shock,8.628276,0.15,,0,N,8.628276,phase6_final_market_state_v1
2021-08-09,semiconductor_ai_cycle_shock,2.876092,0.05,,0,N,2.876092,phase6_final_market_state_v1
2021-08-09,usd_strength_krw_weakness,18.909379,0.26087,,0,N,18.909379,phase6_final_market_state_v1
2021-08-10,acute_global_stress_liquidity_crunch,14.096487,0.25,,0,N,14.096487,phase6_final_market_state_v1
2021-08-10,geopolitical_escalation_supply_shock,8.457892,0.15,,0,N,8.457892,phase6_final_market_state_v1
