date,factor_code,factor_name,factor_group,factor_polarity,factor_score,coverage_ratio,breadth_score,confidence,factor_state,interpretation
2021-08-04,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,50.963249,0.15,0.019265,6.173385,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-05,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,58.674045,0.15,0.173481,7.561328,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-06,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,71.329485,0.15,0.42659,9.839307,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-09,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,64.601536,0.15,0.292031,8.628276,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-10,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,63.654957,0.15,0.273099,8.457892,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-11,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,70.598345,0.15,0.411967,9.707702,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-12,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,76.977075,0.15,0.539541,10.855873,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-13,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,78.145592,0.15,0.562912,11.066207,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-16,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,70.03395,0.15,0.400679,9.606111,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-17,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,49.313395,0.15,0.013732,6.123589,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-18,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,7.1287,0.15,0.857426,13.716834,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-19,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,7.157136,0.15,0.856857,13.711716,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-20,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,43.215102,0.15,0.135698,7.221282,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-23,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,59.19474,0.15,0.183895,7.655053,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-24,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,58.32922,0.15,0.166584,7.49926,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-25,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,63.184959,0.15,0.263699,8.373293,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-26,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,39.519537,0.15,0.209609,7.886483,LOW,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-27,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,67.904791,0.15,0.358096,9.222862,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-30,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,70.050275,0.15,0.401005,9.609049,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-08-31,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,66.473787,0.15,0.329476,8.965282,ELEVATED,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-01,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,63.883234,0.65,0.332933,38.984383,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-02,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,57.086321,0.65,0.275058,36.727264,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-03,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,58.817372,0.65,0.221504,34.638637,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
2021-09-07,growth_risk_appetite,Growth / Risk Appetite,risk_sentiment,positive,51.13528,0.65,0.189948,33.407961,NEUTRAL,주식·신용·시장 breadth가 함께 좋아지는지 확인합니다.
