date,scenario_code,scenario_name,signal_name,signal_label,metric_type,ticker,reference_ticker,lookback_days,weight,direction,raw_value,normalized_value,aligned_value,unit_score,contribution
2021-08-30,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.013875,0.206869,-0.206869,0.448283,-0.015515
2021-08-31,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.008558,-0.294514,0.294514,0.573629,0.022089
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,0.029204,0.629379,0.629379,0.657345,0.094407
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,0.036043,-0.239496,-0.239496,0.440126,-0.029937
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,-0.013112,-1.99037,-1.99037,0.002408,-0.149278
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,0.002017,-0.742869,0.742869,0.685717,0.055715
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.009807,-0.173718,0.173718,0.54343,0.013029
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,0.025874,0.259331,0.259331,0.564833,0.0389
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,qqq_ret_20d,QQQ 20d return,ret_z,QQQ,,20,0.25,positive,0.029026,-0.57777,-0.57777,0.355557,-0.072221
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,tlt_ret_20d,TLT 20d return,ret_z,TLT,,20,0.15,positive,-0.003725,-1.462615,-1.462615,0.134346,-0.109696
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,uup_ret_20d,UUP 20d return,ret_z,UUP,,20,0.15,negative,-0.000403,-0.965852,0.965852,0.741463,0.072439
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,usdkrw_ret_20d,USD/KRW 20d return,ret_z,KRW=X,,20,0.15,negative,0.012256,0.061405,-0.061405,0.484649,-0.004605
2021-09-03,soft_landing_goldilocks,Soft Landing / Goldilocks,spy_ret_20d,SPY 20d return,ret_z,SPY,,20,0.3,positive,0.023933,0.043958,0.043958,0.51099,0.006594
