date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,phase,layer,structured_score,coverage_ratio,breadth_score,confidence,raw_state,display_state,state_label,top_positive_drivers,top_negative_drivers,market_interpretation_ko
2021-08-29,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,55.601422,0.130435,0.112028,6.094136,WATCH,PROVISIONAL,WATCH,"USD/KRW 20d return (+0.0168, z=-0.22)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-08-30,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,44.332882,0.130435,0.113342,6.104418,WATCH,PROVISIONAL,WATCH,,"USD/KRW 20d return (-0.0170, z=+0.23)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-08-31,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,56.805938,0.130435,0.136119,6.282669,WATCH,PROVISIONAL,WATCH,"USD/KRW 20d return (+0.0204, z=-0.27)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,49.116571,0.869565,0.340761,52.56143,WATCH,WATCH,WATCH,"SPY 20d return (+0.0944, z=+0.63) | UUP 20d return (+0.0557, z=-0.74)","TLT 20d return (-0.1493, z=-1.99)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,46.165957,0.869565,0.299358,50.40128,WATCH,WATCH,WATCH,"UUP 20d return (+0.0724, z=-0.97)","TLT 20d return (-0.1097, z=-1.46) | QQQ 20d return (-0.0722, z=-0.58)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-03,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,51.695308,0.73913,0.278581,41.919684,WATCH,PROVISIONAL,WATCH,"UUP 20d return (+0.1262, z=-1.68)","TLT 20d return (-0.0795, z=-1.06) | QQQ 20d return (-0.0245, z=-0.20)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-05,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,56.760831,0.130435,0.135217,6.275608,WATCH,PROVISIONAL,WATCH,"USD/KRW 20d return (+0.0203, z=-0.27)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-06,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,57.102261,0.130435,0.142045,6.32905,WATCH,PROVISIONAL,WATCH,"USD/KRW 20d return (+0.0213, z=-0.28)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-07,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,48.400371,0.869565,0.294117,50.127822,WATCH,WATCH,WATCH,"UUP 20d return (+0.1024, z=-1.37)","TLT 20d return (-0.0956, z=-1.27) | SPY 20d return (-0.0405, z=-0.27)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
2021-09-08,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,V1,macro_regime,46.949543,0.869565,0.250012,47.826692,WATCH,WATCH,WATCH,"UUP 20d return (+0.0945, z=-1.26)","SPY 20d return (-0.0821, z=-0.55) | TLT 20d return (-0.0530, z=-0.71)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.
