date,ticker,label,close,source,currency,ingested_at
2021-05-10,000660.KS,SK Hynix,123285.257812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-11,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-12,000660.KS,SK Hynix,113327.609375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-13,000660.KS,SK Hynix,111430.914062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-14,000660.KS,SK Hynix,112379.28125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-17,000660.KS,SK Hynix,111430.914062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-18,000660.KS,SK Hynix,114750.125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-20,000660.KS,SK Hynix,116172.65625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-21,000660.KS,SK Hynix,116172.65625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-24,000660.KS,SK Hynix,113327.609375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-25,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-26,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-27,000660.KS,SK Hynix,119017.71875,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-28,000660.KS,SK Hynix,118543.539062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-05-31,000660.KS,SK Hynix,120440.226562,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-01,000660.KS,SK Hynix,121862.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-02,000660.KS,SK Hynix,119491.882812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-03,000660.KS,SK Hynix,122336.914062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-04,000660.KS,SK Hynix,121862.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-07,000660.KS,SK Hynix,121862.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-08,000660.KS,SK Hynix,120914.398438,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-09,000660.KS,SK Hynix,116172.65625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-10,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-11,000660.KS,SK Hynix,121388.570312,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-14,000660.KS,SK Hynix,120440.226562,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-15,000660.KS,SK Hynix,121862.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-16,000660.KS,SK Hynix,122811.09375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-17,000660.KS,SK Hynix,119966.0625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-18,000660.KS,SK Hynix,118069.359375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-21,000660.KS,SK Hynix,115698.476562,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-22,000660.KS,SK Hynix,115698.476562,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-23,000660.KS,SK Hynix,117595.171875,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-24,000660.KS,SK Hynix,119491.882812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-25,000660.KS,SK Hynix,121862.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-28,000660.KS,SK Hynix,119491.882812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-29,000660.KS,SK Hynix,118543.539062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-06-30,000660.KS,SK Hynix,120914.398438,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-01,000660.KS,SK Hynix,118069.359375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-02,000660.KS,SK Hynix,116172.65625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-05,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-06,000660.KS,SK Hynix,118543.539062,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-07,000660.KS,SK Hynix,117121.015625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-08,000660.KS,SK Hynix,115224.3125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-09,000660.KS,SK Hynix,113327.609375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-12,000660.KS,SK Hynix,113801.78125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-13,000660.KS,SK Hynix,116646.828125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-14,000660.KS,SK Hynix,117121.015625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-15,000660.KS,SK Hynix,117121.015625,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-16,000660.KS,SK Hynix,115224.3125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-19,000660.KS,SK Hynix,112853.445312,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-20,000660.KS,SK Hynix,112379.28125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-21,000660.KS,SK Hynix,110956.734375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-22,000660.KS,SK Hynix,113327.609375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-23,000660.KS,SK Hynix,112379.28125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-26,000660.KS,SK Hynix,110956.734375,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-27,000660.KS,SK Hynix,110008.398438,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-28,000660.KS,SK Hynix,108111.695312,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-29,000660.KS,SK Hynix,108111.695312,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-07-30,000660.KS,SK Hynix,106689.1875,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-02,000660.KS,SK Hynix,110008.398438,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-03,000660.KS,SK Hynix,113801.78125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-04,000660.KS,SK Hynix,114750.125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-05,000660.KS,SK Hynix,113801.78125,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-06,000660.KS,SK Hynix,111905.070312,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-09,000660.KS,SK Hynix,110008.398438,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-10,000660.KS,SK Hynix,106689.1875,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-11,000660.KS,SK Hynix,100050.757812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
2021-08-12,000660.KS,SK Hynix,95309.007812,hedgemate_market_raw,KRW,2026-05-18T02:55:43.820870+00:00
