date,scenario_code,scenario_name,driver_rank,signal_name,signal_label,metric_type,driver_effect,contribution,raw_value,normalized_value,aligned_value,unit_score
2021-08-30,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.015515,0.013875,0.206869,-0.206869,0.448283
2021-08-31,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.022089,0.008558,-0.294514,0.294514,0.573629
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,1,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.149278,-0.013112,-1.99037,-1.99037,0.002408
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,supporting,0.094407,0.029204,0.629379,0.629379,0.657345
2021-09-01,soft_landing_goldilocks,Soft Landing / Goldilocks,3,uup_ret_20d,UUP 20d return,ret_z,supporting,0.055715,0.002017,-0.742869,0.742869,0.685717
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,1,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.109696,-0.003725,-1.462615,-1.462615,0.134346
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,2,uup_ret_20d,UUP 20d return,ret_z,supporting,0.072439,-0.000403,-0.965852,0.965852,0.741463
2021-09-02,soft_landing_goldilocks,Soft Landing / Goldilocks,3,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.072221,0.029026,-0.57777,-0.57777,0.355557
2021-09-03,soft_landing_goldilocks,Soft Landing / Goldilocks,1,uup_ret_20d,UUP 20d return,ret_z,supporting,0.126213,-0.008022,-1.682845,1.682845,0.920711
2021-09-03,soft_landing_goldilocks,Soft Landing / Goldilocks,2,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.079527,0.003982,-1.060364,-1.060364,0.234909
2021-09-03,soft_landing_goldilocks,Soft Landing / Goldilocks,3,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.02446,0.036734,-0.195676,-0.195676,0.451081
2021-09-05,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.021913,0.008586,-0.292171,0.292171,0.573043
2021-09-06,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.022926,0.008421,-0.305678,0.305678,0.576419
2021-09-07,soft_landing_goldilocks,Soft Landing / Goldilocks,1,uup_ret_20d,UUP 20d return,ret_z,supporting,0.102438,-0.005204,-1.36584,1.36584,0.84146
2021-09-07,soft_landing_goldilocks,Soft Landing / Goldilocks,2,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.095578,-0.000905,-1.274368,-1.274368,0.181408
2021-09-07,soft_landing_goldilocks,Soft Landing / Goldilocks,3,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.040468,0.021102,-0.269785,-0.269785,0.432554
2021-09-08,soft_landing_goldilocks,Soft Landing / Goldilocks,1,uup_ret_20d,UUP 20d return,ret_z,supporting,0.094501,-0.0044,-1.260016,1.260016,0.815004
2021-09-08,soft_landing_goldilocks,Soft Landing / Goldilocks,2,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.082148,0.018591,-0.54765,-0.54765,0.363087
2021-09-08,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.053049,0.010563,-0.70732,-0.70732,0.32317
2021-09-09,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.196972,0.011718,-1.313144,-1.313144,0.171714
2021-09-09,soft_landing_goldilocks,Soft Landing / Goldilocks,2,uup_ret_20d,UUP 20d return,ret_z,supporting,0.095518,-0.00481,-1.273576,1.273576,0.818394
2021-09-09,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.039986,0.006084,-0.533141,0.533141,0.633285
2021-09-10,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,0.000741,-2.510893,-2.510893,0.0
2021-09-10,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.099667,0.024651,-0.797335,-0.797335,0.300666
2021-09-10,soft_landing_goldilocks,Soft Landing / Goldilocks,3,uup_ret_20d,UUP 20d return,ret_z,supporting,0.0908,-0.004403,-1.21066,1.21066,0.802665
2021-09-12,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.033615,0.006888,-0.448196,0.448196,0.612049
2021-09-13,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,0.00148,-2.301882,-2.301882,0.0
2021-09-13,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.125491,0.020362,-1.003929,-1.003929,0.249018
2021-09-13,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.067836,0.006327,-0.904476,-0.904476,0.273881
2021-09-14,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.006265,-3.006563,-3.006563,0.0
2021-09-14,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.144719,0.01702,-1.157754,-1.157754,0.210561
2021-09-14,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.121063,-0.004803,-1.614174,1.614174,0.903543
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.200114,0.008648,-1.334093,-1.334093,0.166477
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,2,uup_ret_20d,UUP 20d return,ret_z,supporting,0.115938,-0.00839,-1.545841,1.545841,0.88646
2021-09-15,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.110703,-0.003813,-1.476037,1.476037,0.869009
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.086212,-0.000825,-1.149498,1.149498,0.787374
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,2,uup_ret_20d,UUP 20d return,ret_z,supporting,0.082655,-0.003995,-1.102069,1.102069,0.775517
2021-09-16,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.07183,0.004892,-0.957732,-0.957732,0.260567
2021-09-17,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.225208,0.006716,-1.50139,-1.50139,0.124653
2021-09-17,soft_landing_goldilocks,Soft Landing / Goldilocks,2,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.115185,-0.007247,-1.535805,-1.535805,0.116049
2021-09-17,soft_landing_goldilocks,Soft Landing / Goldilocks,3,uup_ret_20d,UUP 20d return,ret_z,supporting,0.089516,-0.005169,-1.193549,1.193549,0.798387
2021-09-19,soft_landing_goldilocks,Soft Landing / Goldilocks,1,usdkrw_ret_20d,USD/KRW 20d return,ret_z,supporting,0.035565,0.005851,-0.474206,0.474206,0.618552
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.017885,-3.874755,-3.874755,0.0
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.004418,-2.246571,-2.246571,0.0
2021-09-20,soft_landing_goldilocks,Soft Landing / Goldilocks,3,uup_ret_20d,UUP 20d return,ret_z,supporting,0.077054,-0.003583,-1.027383,1.027383,0.756846
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.027368,-4.350592,-4.350592,0.0
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.017882,-2.828159,-2.828159,0.0
2021-09-21,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.07023,0.0042,-0.936401,-0.936401,0.2659
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.019437,-3.213159,-3.213159,0.0
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.25,-0.011727,-2.373638,-2.373638,0.0
2021-09-22,soft_landing_goldilocks,Soft Landing / Goldilocks,3,usdkrw_ret_20d,USD/KRW 20d return,ret_z,offsetting,-0.033441,0.015215,0.445874,-0.445874,0.388531
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,1,spy_ret_20d,SPY 20d return,ret_z,offsetting,-0.3,-0.009601,-2.244192,-2.244192,0.0
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,2,qqq_ret_20d,QQQ 20d return,ret_z,offsetting,-0.238028,-0.003753,-1.904226,-1.904226,0.023943
2021-09-23,soft_landing_goldilocks,Soft Landing / Goldilocks,3,tlt_ret_20d,TLT 20d return,ret_z,offsetting,-0.072322,0.003436,-0.964292,-0.964292,0.258927
