as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-05-18,2026-05-18,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,,,76.425412,STRESS,STRESS,83.252633,1.0,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,,,70.124968,ACTIVE,ACTIVE,76.573277,1.0,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,,,65.788718,STRESS,STRESS,69.098108,0.956522,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,,,56.538377,ACTIVE,ACTIVE,67.122723,0.916667,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,,,55.672777,WATCH,WATCH,60.92908,0.916667,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,,,49.56558,WATCH,WATCH,69.884529,1.0,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,,,48.826062,WATCH,WATCH,60.133498,0.869565,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,,,40.211054,OFF,OFF,75.379277,1.0,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,,,25.121253,OFF,OFF,74.561677,1.0,,,,phase6_final_market_state_v1
2026-05-18,2026-05-18,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,,,19.893549,OFF,OFF,69.783763,0.916667,,,,phase6_final_market_state_v1
